status,xa1,xa2,xb1,xb2,xc1,xc2,xd1,xd2
pause,218,398,128,493,98,524,58,580
pause,218,398,129,493,99,524,47,580
pause,218,398,129,492,99,535,46,594
pause,219,402,130,492,100,523,48,580
pause,220,398,130,492,100,523,48,594
pause,219,397,130,492,100,534,48,594
pause,220,398,130,502,100,535,47,593
pause,220,396,130,492,100,534,48,593
pause,220,396,130,492,100,522,48,593
pause,220,401,130,492,100,523,47,593
pause,220,397,130,502,100,522,58,593
pause,220,396,130,502,100,522,58,593
pause,220,400,130,492,100,534,48,593
pause,220,396,139,502,100,522,48,580
pause,220,396,131,492,100,522,58,593
pause,220,402,130,492,100,534,48,580
pause,220,402,130,492,100,524,48,580
pause,220,398,130,492,100,524,48,580
pause,220,398,130,493,100,524,58,580
pause,220,398,130,493,100,524,58,580
pause,220,398,130,493,100,524,58,580
pause,221,398,131,503,101,524,48,594
pause,224,398,132,503,101,524,59,580
straight,221,403,131,504,101,524,48,595
straight,220,399,131,494,101,524,59,594
straight,221,399,132,504,101,524,59,594
straight,221,399,132,493,102,524,49,580
straight,207,399,144,482,115,511,69,582
straight,236,641,170,468,131,509,73,573
straight,235,641,162,481,124,514,72,579
straight,213,393,150,488,119,518,54,581
straight,211,416,124,504,94,533,45,602
straight,189,410,126,498,104,527,41,595
straight,223,399,131,491,101,520,43,578
straight,221,402,127,493,97,522,39,578
straight,218,403,126,493,97,522,49,578
straight,218,402,126,492,96,522,39,591
straight,218,406,126,492,96,533,48,576
straight,218,402,126,490,95,531,38,574
straight,219,402,134,490,95,531,38,574
straight,218,406,124,490,94,520,46,588
straight,220,405,126,489,95,518,37,586
straight,222,564,126,488,94,516,46,571
straight,221,563,126,499,95,518,46,586
straight,223,641,134,488,95,529,45,571
straight,223,641,124,486,94,516,34,585
straight,220,641,122,488,92,530,32,586
straight,220,641,122,486,100,516,41,583
straight,223,641,124,484,92,512,32,581
straight,223,641,124,484,91,512,32,582
straight,221,641,121,486,97,512,39,567
straight,222,641,122,484,90,510,30,579
straight,224,641,123,482,90,508,31,576
straight,223,641,121,482,89,508,29,562
straight,220,641,119,483,88,509,27,574
straight,223,641,122,482,90,508,38,573
straight,224,641,122,482,90,510,35,573
straight,223,641,120,484,88,512,26,560
straight,224,641,121,484,88,510,27,573
straight,226,641,123,482,90,521,39,558
