status,xa1,xa2,xb1,xb2
pause,-2,-2,-2,-2
pause,-2,-2,-2,-2
pause,185,334,97,430
pause,185,334,97,430
pause,185,334,97,430
pause,185,334,97,430
pause,185,334,97,430
straight,185,334,97,430
straight,186,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,334,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,430
straight,185,-1,97,-1
straight,185,-1,97,-1
straight,185,-1,97,-1
straight,185,-1,97,-1
straight,185,256,97,-1
straight,-1,-1,97,-1
right,-1,-1,97,-1
right,-1,-1,97,-1
right,-1,-1,92,-1
right,-1,465,87,-1
right,-1,404,80,-1
right,-1,376,73,-1
right,-1,355,64,-1
right,-1,341,55,-1
right,-1,330,45,-1
right,-1,322,35,-1
right,-1,314,25,-1
right,-1,307,13,-1
right,-1,300,0,511
right,-1,293,-1,500
right,-1,287,-1,486
right,-1,281,-1,474
right,-1,274,-1,464
right,-1,270,-1,456
right,-1,264,-1,448
right,-1,259,-1,440
right,253,256,0,434
right,247,-1,4,426
straight,243,-1,11,421
straight,236,412,20,414
straight,239,-1,25,420
straight,242,-1,32,427
straight,244,-1,38,432
straight,247,-1,44,438
straight,249,-1,49,444
straight,252,256,55,450
straight,255,256,61,456
straight,-1,257,67,462
straight,-1,260,74,468
straight,-1,263,79,474
straight,-1,266,85,480
straight,-1,268,91,486
straight,-1,271,97,491
right,-1,273,103,497
right,-1,276,111,504
right,-1,270,113,496
right,-1,263,115,488
right,-1,256,116,481
right,250,-1,117,475
right,243,-1,117,467
right,236,-1,116,461
right,231,-1,115,456
right,223,-1,113,450
right,216,-1,110,444
right,209,-1,107,439
straight,202,-1,104,433
straight,193,504,99,427
straight,193,504,99,427
straight,193,505,100,428
